Component,References,MFGR,MPN,Value,Desc,Footprint,Quantity Per PCB,Stock,Stock Date,Tolerance,Unit Cost
1,ATT1,Susumu,PAT1220-C-3DB-T5,PAT1220-C-3DB,RF ATTENUATOR 3DB 50OHM 0805,RF_Attenuator_Susumu_PAT1220_3D,1,80940,03/02/2022,NA,0.33
2,C14 C17,AVX,06031A330GAT2A,33 pF,CAP CER 33PF 100V C0G/NP0 0603,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2,862,04/14/2022,2%,0.40
3,C4 C7 C11,KEMET,C1206C102KBRACTU,1000 pF,CAP CER 1000PF 630V X7R 1206,C_1206_3216Metric_Pad1.6x1.8mm,3,6278,03/02/2022,10%,0.32
4,C2 C3 C5 C6 C8 C9 C12 C13 C15 C19,Yageo,CC1206KKX7RYBB104,0.1 uF,CAP CER 0.1UF 250V X7R 1206,C_1206_3216Metric_Pad1.6x1.8mm,10,1075,03/02/2022,10%,0.33
5,C1 C18,Samsung,CL32B106KBJNNWE,10 uF,CAP CER 10UF 50V X7R 1210,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,2,15000,03/02/2022,10%,0.34
6,C16,KEMET,GRM32ER71E226ME15K,22 uF,CAP CER 22UF 25V X7R 1210,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,1,15270,03/02/2022,10%,1.25
7,C20 FP1 FP2 FP3 FP4,DNI,DNI,OPT,CAP CER TBD 0603 LWA FEE Feedpoint,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,5,TBD 1000,TBD 06/12/2020,2% NA,0.00
8,D2 D3 D4,ON Semiconductor,BAV99LT1G,BAV99LT1G,DIODE ARRAY 100V 215MA SOT23-3,SOT-23,3,8246,03/02/2022,NA,0.38
9,D8,Kingbright,APT3216LZGCK,Green,LED GREEN CLEAR 1206 SMD,LED_1206_3216Metric,1,44379,04/13/2022,NA,0.38
10,D1,Diotec Semiconductor,SK24,SK24,SCHOTTKY SMB 40V 2A,D_SMB_Handsoldering,1,2216850,03/03/2022,NA,0.07
11,FB1 FB2 FB3,Laird-Signal Integrity Products,HZ0805C202R-10,HZ0805C202R-10,FERRITE BEAD 2 KOHM 0805 1LN,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,180780,03/03/2022,NA,0.10
12,GDT1,Bourns Inc.,2035-09-SM-RPLF,2035-09-SM-RPLF,GDT 90V 5KA 2 POLE SURFACE MOUNT,2035-09-SM-RPLF,1,90060,03/03/2022,NA,0.64
13,H1,Mini-Circuits,AMT-32+,AMT-32+,"Magic Tee, 50 - 200 MHz, 180 deg Hybrid, 50Ω",AMT-2,1,66,03/03/2022,NA,13.45
14,JP1 JP2,Harwin Inc.,S1621-46R,JS1621-46R,JUMPER TIN SMD,S1621-46R,2,100419,03/03/2022,NA,0.15
15,L6 L7,Coilcraft,1008CS-330XGLC,33 nH,FIXED IND 1008 33nH 2% 1A 140mOhms,1008CS,2,3764,03/03/2022,2%,0.85
16,L5,Coilcraft,1008CS-101XGLC,100 nH,FIXED IND 1008 100nH 2% 650mA 560mOhms,1008CS,1,9701,03/03/2022,2%,0.85
17,L1 L2 L4,Coilcraft,1008CS-472XJLC,4.7 uH,FIXED IND 1008 4.7uH 5% 260mA 4Ohms,1008CS,3,77719,03/03/2022,5%,0.51
18,L3,Coilcraft,1008PS-472KLB,4.7 uH,FIXED IND 1008 4.7uH 5% 260mA 4Ohms,1008PS,1,9375,03/03/2022,10%,1.00
19,L8,Stackpole Electronics Inc,RMCF0603ZT0R00,OPT,RES 0 OHM JUMPER 1/10W 0603,1008CS_RES,1,5009095,03/03/2022,2%,0.01
20,R3,"Stackpole Electronics, Inc.",RMCF1206FT51R0,51R,RES 51 OHM 1% 1/4W 1206,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,57265,03/03/2022,1%,0.56
21,R1 R2,TE Connectivity Passive,352191RFT,91R,RES SMD 91 OHM 1% 2W 2512,R_2512_6332Metric_Pad1.8x3.35mm,2,6905,03/03/2022,1%,0.51
22,R6,Stackpole Electronics Inc,RMCF2512FT95R3,95.3R,RES 95.3 OHM 1% 1W 2512,R_2512_6332Metric_Pad1.8x3.35mm,1,11884,03/03/2022,1%,0.37
23,R4 R5,Panasonic Electronic Components,ERJ-8GEYJ472V,4.7k,RES SMD 4.7K OHM 5% 1/4W 1206,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,229032,03/03/2022,5%,0.05
24,S3,Cinch Connectivity Solutions Johnson,142-0701-201,RF OUT+DC IN,CONN SMA JACK STR 50 OHM PCB,SMA_142-0701-201,1,40347,03/03/2022,NA,4.94
25,TP1 TP2,Harwin Inc,S1751-46R,+V TEST,PC TEST POINT NATURAL,Harwin_TP_S1751-46R,2,157264,03/03/2022,NA,0.20
26,U4,Mini-Circuits,GALI-6+,GALI-6+,"SMT Low Noise Amplifier, DC - 4 GHz, 12.2 dB Gain, 4.5 dB NF, IP3O 35.5 dBm, 50Ω",MCL_Gali,1,650,03/03/2022,NA,1.65
27,U1 U2,Mini-Circuits,GALI-74+,GALI-74+,"SMT Low Noise Amplifier, DC - 1 GHz, 25.1 dB Gain, 2.7 dB NF, IP3O 38dBm, 50Ω",MCL_Gali,2,3424,03/03/2022,NA,2.65
28,U3,Texas Instruments,LM2937IMP-12/NOPB,LM2937IMP-12,IC REG LINEAR 12V 400MA SOT223-4,SOT-223-3_TabPin2,1,400,03/03/2022,NA,1.44
29,U5,Texas Instruments,TVS2201DRBR,TVS2201,IC BIIDIR FLAT CLAMP TVS,Texas_DRB0008A_VSON-N8_No_Vias,1,733,03/03/2022,NA,0.65





Component Groups:,29
Component Count:,58
Fitted Components:,58
Number of PCBs:,1
Total components:,58
Schematic Version:,2.0-32+
Schematic Date:,2022-04-13
PCB Variant:,default
BoM Date:,Thu 14 Apr 2022 01:18:13 PM EDT
Schematic Source:,LWA Balun 2020.kicad_sch
KiCad Version:,Eeschema 6.0.4-6f826c9f35~116~ubuntu20.04.1
